rank,title,volume_24h,status,category,created_at,end_date,url,liquidity,market_count,featured,event_id
27,CS2: BLAST.tv Austin Major,115867.05739,Active,Esports,2025-05-26T10:47:57.659423Z,2025-06-22T12:00:00Z,https://polymarket.com/event/cs2-blasttv-austin-major,21524.17641,17,False,25205
28,Stanley Cup Champion 2025,114932.95404700002,Active,Sports,2024-10-07T18:46:22.592278Z,2025-06-23T12:00:00Z,https://polymarket.com/event/stanley-cup-winner,909019.99258,32,False,13241
29,US recognizes Russian sovereignty over Ukraine?,111489.73160000001,Active,World Affairs,2025-02-20T16:41:53.401391Z,2025-12-31T12:00:00Z,https://polymarket.com/event/us-recognizes-russian-sovereignty-over-ukraine,11877.5964,1,False,19117
30,Largest company end of June?,107157.905354,Active,Technology,2025-05-27T19:29:00.533454Z,2025-06-30T12:00:00Z,https://polymarket.com/event/largest-company-end-of-june,118995.71824,6,False,25322
31,F1 Drivers Champion: 2nd Place,98405.072644,Active,Sports,2025-04-22T21:33:04.81469Z,2025-12-07T12:00:00Z,https://polymarket.com/event/f1-drivers-champion-2nd-place,327109.72547,21,False,23270
32,FIFA Club World Cup Winner ,96344.786822,Active,Sports,2025-05-28T19:15:35.354502Z,2025-07-13T12:00:00Z,https://polymarket.com/event/fifa-club-world-cup-winner,468982.63949,34,False,25402
33,Israel x Hamas ceasefire before July?,91385.92119699999,Active,World Affairs,2025-03-19T19:39:36.119221Z,2025-06-30T12:00:00Z,https://polymarket.com/event/israel-x-hamas-ceasefire-before-july-2025,65982.2074,1,True,21257
34,Panthers vs. Oilers,89919.984617,Active,Sports,2025-06-02T00:00:00.412122Z,2025-06-05T00:00:00Z,https://polymarket.com/event/nhl-fla-edm-2025-06-04,350498.1427,1,False,25683
35,Canada Election: Popular Vote Margin of Victory?,87555.957423,Active,World Affairs,2025-03-18T18:50:20.975932Z,2025-06-30T12:00:00Z,https://polymarket.com/event/canada-election-popular-vote-margin-of-victory,1122941.70721,11,False,21218
36,Ethereum price on June 6?,85426.190441,Active,Crypto,2025-05-30T13:12:15.904758Z,2025-06-06T12:00:00Z,https://polymarket.com/event/ethereum-price-on-june-6,470552.86365,5,False,25535
37,Angels vs. Red Sox,83975.89467800003,Active,Sports,2025-06-03T08:00:28.997089Z,2025-06-04T17:35:00Z,https://polymarket.com/event/mlb-laa-bos-2025-06-04,131806.2635,1,False,25834
38,What will happen before GTA VI?,79773.000451,Active,Entertainment,2025-05-02T14:55:28.249386Z,2026-07-31T12:00:00Z,https://polymarket.com/event/what-will-happen-before-gta-vi,306805.5599,7,False,23784
39,Super Bowl Champion 2026,77926.72631,Active,NFL,2025-04-30T10:43:09.376079Z,2026-02-08T12:00:00Z,https://polymarket.com/event/super-bowl-champion-2026-731,13178764.17116,33,False,23656
40,Will Russia capture Kupiansk by...?,77642.092439,Active,World Affairs,2025-02-11T19:08:48.045517Z,2025-07-31T12:00:00Z,https://polymarket.com/event/will-russia-capture-kupiansk-by,14419.7673,3,False,18396
41,ECB Interest Rates: June 2025,72573.31259599999,Active,Economy,2025-04-17T21:20:16.299555Z,2025-06-05T12:00:00Z,https://polymarket.com/event/ecb-interest-rates-june-2025,34714.08156,4,False,22977
42,Next Prime Minister of Romania,72139.084055,Active,World Affairs,2025-05-27T03:29:16.314587Z,2025-12-31T12:00:00Z,https://polymarket.com/event/next-prime-minister-of-romania,323710.95739,39,False,25232
43,Burundi Parliamentary Election Winner,71892.364624,Active,Politics,2025-05-12T21:35:51.048412Z,2025-06-05T12:00:00Z,https://polymarket.com/event/burundi-parliamentary-election-winner,37010.81362,4,False,24375
44,Will Zelenskyy wear a suit before July?,70561.99076399999,Active,World Affairs,2025-05-22T22:19:19.511587Z,2025-06-30T12:00:00Z,https://polymarket.com/event/will-zelenskyy-wear-a-suit-before-july,53811.4258,1,False,25044
45,Russia x Ukraine ceasefire before October?,69121.855925,Active,World Affairs,2025-04-14T19:35:26.632563Z,2025-09-30T12:00:00Z,https://polymarket.com/event/russia-x-ukraine-ceasefire-before-october,76765.8973,1,False,22805
46,Will Putin meet with Zelenskyy before July?,68737.076168,Active,World Affairs,2025-04-18T20:27:30.853197Z,2025-06-30T12:00:00Z,https://polymarket.com/event/will-putin-meet-with-zelenskyy-before-july,105760.38893,1,False,23092
47,Czech Republic Parliamentary Election Winner,64766.086728,Active,Politics,2025-03-25T18:29:41.645175Z,2025-09-30T12:00:00Z,https://polymarket.com/event/czech-republic-parliamentary-election-winner,981328.3146,17,False,21616
48,Which coalition will form the next Suriname government?,64488.488176,Active,Politics,2025-05-27T02:51:38.63109Z,2025-06-30T12:00:00Z,https://polymarket.com/event/which-coalition-will-form-the-next-suriname-government,34667.88002,8,False,25230
49,Netherlands Parliamentary Election,64143.985787,Active,Politics,2025-06-03T21:09:25.49581Z,2026-07-31T00:00:00Z,https://polymarket.com/event/netherlands-parliamentary-election,178408.37249,26,False,25933
50,What will Trump say during Merz events on June 5?,63416.406913,Active,World Affairs,2025-06-02T15:47:02.577874Z,2025-06-05T12:00:00Z,https://polymarket.com/event/what-will-trump-say-during-merz-events-on-june-5,68661.66293,18,False,25784
